"C_U_21_components"
"Iteration" "df-body etc.."
("Iteration" "df-body" "df-diffuser" "df-front_wheel" "df-front_wing" "df-nose" "df-rear_wheel" "df-rear_wing" "df-sidepod" "df-suspension" "drag-body" "drag-diffuser" "drag-front_wheel" "drag-front_wing" "drag-nose" "drag-rear_wheel" "drag-rear_wing" "drag-sidepod" "drag-suspension" "df-fw-1" "df-fw-2" "df-fw-3" "df-fw-4" "df-fw-e" "df-s-wlot" "df-s-1" "df-s-2" "df-s-e" "df-rw-1" "df-rw-2" "df-rw-3" "df-rw-4" "df-rw-e" "drag-fw-1" "drag-fw-2" "drag-fw-3" "drag-fw-4" "drag-fw-e" "drag-s-wlot" "drag-s-1" "drag-s-2" "drag-s-e" "drag-rw-1" "drag-rw-2" "drag-rw-3" "drag-rw-4" "drag-rw-e")
197 0.5499746 41.32226 -1.464589 86.27009 -3.375625 -1.803381 88.36232 44.6177 -0.7153552 20.7819 5.13719 5.151601 11.31704 3.694312 2.989459 36.36578 10.20402 3.104957 48.88519 24.51199 7.554787 2.709919 2.608195 -6.145204 31.34589 1.928988 18.20337 58.13672 25.94306 3.884014 3.645476 -3.246947 -1.334838 5.234807 3.889156 2.256644 1.271275 -4.621498 5.972964 1.180493 4.567105 4.546484 20.043 8.622478 1.998566 1.155233
198 0.5560187 41.34598 -1.464106 86.2915 -3.376082 -1.803952 88.36804 44.64467 -0.714667 20.76993 5.136711 5.148944 11.31242 3.693514 2.986031 36.3594 10.19863 3.104351 48.89893 24.51669 7.55569 2.710146 2.610045 -6.146743 31.36218 1.928239 18.21566 58.13847 25.9419 3.884661 3.646768 -3.243752 -1.337555 5.234099 3.888916 2.256454 1.270503 -4.624261 5.974515 1.179702 4.564323 4.543824 20.04186 8.622087 1.999612 1.152
199 0.5620362 41.36977 -1.463591 86.31304 -3.376518 -1.804528 88.37429 44.67094 -0.7139313 20.75826 5.136256 5.146343 11.30787 3.692725 2.982685 36.35321 10.1928 3.103744 48.91271 24.52147 7.556613 2.710384 2.611867 -6.148468 31.37822 1.927437 18.22768 58.14051 25.94082 3.885304 3.648338 -3.240673 -1.340258 5.233419 3.888699 2.256274 1.269735 -4.627308 5.976007 1.178881 4.561478 4.541127 20.04079 8.621733 2.000761 1.148786
200 0.5680068 41.3937 -1.463047 86.33465 -3.376922 -1.805096 88.381 44.69662 -0.7131352 20.74658 5.135834 5.143824 11.3034 3.691945 2.979412 36.34721 10.18661 3.103139 48.92651 24.52629 7.557552 2.710631 2.613658 -6.150306 31.39401 1.92659 18.23946 58.14285 25.93984 3.885939 3.650077 -3.237689 -1.342945 5.232767 3.888501 2.256104 1.268971 -4.630572 5.977437 1.178037 4.558572 4.538431 20.03979 8.621405 2.001968 1.145594
201 0.5738004 41.41779 -1.462481 86.35624 -3.377293 -1.805642 88.38806 44.72179 -0.7122794 20.73488 5.135453 5.141413 11.29899 3.691175 2.976202 36.34133 10.18011 3.102538 48.94029 24.53113 7.5585 2.710883 2.615416 -6.15217 31.40951 1.925705 18.25103 58.14545 25.93896 3.886561 3.651847 -3.23477 -1.345614 5.232139 3.888318 2.25594 1.268209 -4.634013 5.978803 1.177173 4.555612 4.535755 20.03885 8.621096 2.003176 1.142434
202 0.5793624 41.4421 -1.461905 86.3777 -3.37764 -1.806158 88.39536 44.74652 -0.7113733 20.72347 5.13512 5.139131 11.29463 3.690415 2.973032 36.33549 10.17335 3.101942 48.95401 24.53596 7.559446 2.711137 2.617138 -6.153981 31.42467 1.924789 18.26241 58.14833 25.93819 3.88717 3.653544 -3.231871 -1.348264 5.231527 3.888145 2.255779 1.267448 -4.637594 5.980098 1.176292 4.552608 4.533033 20.03796 8.620794 2.004358 1.139319
203 0.584852 41.46664 -1.461336 86.39892 -3.377978 -1.806633 88.40286 44.77084 -0.7104412 20.71236 5.134839 5.136993 11.29031 3.689667 2.969882 36.32963 10.16635 3.101349 48.96761 24.54072 7.560373 2.711391 2.618819 -6.155674 31.43946 1.92385 18.27363 58.15142 25.9375 3.88776 3.655168 -3.228992 -1.350892 5.230925 3.887973 2.25562 1.266688 -4.641286 5.981318 1.175398 4.549574 4.530256 20.03711 8.62049 2.005511 1.136248
204 0.5902018 41.49138 -1.460788 86.4198 -3.378319 -1.807057 88.41042 44.79468 -0.7095183 20.70128 5.134618 5.134994 11.28601 3.688931 2.966743 36.32377 10.15916 3.10076 48.98104 24.54538 7.561269 2.711644 2.620455 -6.157219 31.45384 1.922893 18.28468 58.15466 25.93686 3.88833 3.656671 -3.226123 -1.353497 5.230328 3.887797 2.255463 1.265926 -4.645073 5.982459 1.174493 4.546523 4.527485 20.03627 8.620173 2.006608 1.13322
205 0.5953037 41.5163 -1.460273 86.44025 -3.378665 -1.807425 88.41774 44.81798 -0.708638 20.69012 5.134459 5.133112 11.28174 3.688204 2.963609 36.31789 10.15179 3.100175 48.99425 24.54993 7.562129 2.711895 2.622043 -6.158603 31.46775 1.921921 18.29555 58.15788 25.93625 3.888873 3.657965 -3.223245 -1.356075 5.229732 3.887615 2.255308 1.265161 -4.648952 5.98352 1.173578 4.543467 4.524783 20.03541 8.619821 2.007619 1.130239
206 0.6000997 41.54134 -1.459788 86.4602 -3.379016 -1.807734 88.4246 44.84068 -0.7078196 20.6792 5.13436 5.131313 11.27749 3.687488 2.960466 36.31188 10.14428 3.0996 49.0072 24.55432 7.562954 2.712147 2.623577 -6.159831 31.48116 1.920935 18.30623 58.16093 25.9356 3.88938 3.659001 -3.220326 -1.358625 5.229134 3.887428 2.255157 1.264395 -4.652904 5.984512 1.172651 4.540417 4.52209 20.0345 8.619411 2.00854 1.127316
207 0.6047113 41.56645 -1.459324 86.47963 -3.379373 -1.807986 88.43081 44.86275 -0.7070649 20.66868 5.13432 5.129562 11.27326 3.686779 2.957302 36.30564 10.13667 3.099034 49.01986 24.55856 7.563751 2.712401 2.625056 -6.160919 31.49408 1.91994 18.31672 58.16365 25.93482 3.889844 3.659867 -3.217376 -1.361143 5.228533 3.88724 2.255012 1.263627 -4.656918 5.985456 1.171716 4.537382 4.519362 20.03347 8.618922 2.009409 1.124447
208 0.6091369 41.59156 -1.458863 86.49854 -3.379732 -1.808186 88.43623 44.88422 -0.7063581 20.65826 5.134335 5.127831 11.26909 3.686077 2.954117 36.29918 10.12899 3.098482 49.03223 24.56263 7.564531 2.712661 2.626477 -6.161891 31.5065 1.91894 18.32702 58.16593 25.93384 3.890261 3.660609 -3.214413 -1.36363 5.227933 3.887053 2.254875 1.262859 -4.660994 5.986366 1.170774 4.534363 4.516645 20.03231 8.618349 2.010233 1.121619
209 0.6133844 41.61656 -1.458388 86.51696 -3.38008 -1.808339 88.44064 44.90511 -0.7056738 20.6477 5.134394 5.1261 11.26497 3.685378 2.950929 36.29258 10.12126 3.09795 49.04431 24.56656 7.565311 2.712929 2.627844 -6.162774 31.51844 1.917939 18.33717 58.1676 25.93264 3.890631 3.661193 -3.211425 -1.366082 5.227337 3.886877 2.25475 1.262094 -4.665142 5.987258 1.169829 4.531361 4.51403 20.03099 8.617693 2.011 1.118836
210 0.6174957 41.6414 -1.457882 86.53495 -3.380397 -1.808458 88.4439 44.92547 -0.7049835 20.63715 5.13449 5.124362 11.26093 3.684678 2.947744 36.28583 10.11347 3.097445 49.05611 24.57036 7.566107 2.713207 2.629161 -6.163592 31.52995 1.916934 18.34715 58.16852 25.93118 3.890958 3.661618 -3.20838 -1.3685 5.226751 3.886717 2.254636 1.261332 -4.669371 5.988144 1.168878 4.52837 4.51149 20.02953 8.616961 2.011724 1.11611
211 0.6216386 41.66603 -1.457344 86.55256 -3.380668 -1.808553 88.44609 44.94542 -0.7042633 20.62688 5.134614 5.122626 11.25697 3.683976 2.94456 36.27893 10.10564 3.096971 49.06767 24.57403 7.56693 2.713495 2.630431 -6.164366 31.5411 1.915928 18.35702 58.16867 25.92944 3.891246 3.662018 -3.205283 -1.370884 5.226175 3.886576 2.254534 1.260575 -4.67368 5.989036 1.167925 4.52539 4.508942 20.0279 8.616166 2.012469 1.113439
212 0.6259136 41.69045 -1.456778 86.56979 -3.380882 -1.808633 88.44737 44.96511 -0.7035022 20.61676 5.134759 5.120907 11.25309 3.68327 2.94138 36.27194 10.0978 3.096531 49.07897 24.57759 7.567781 2.713792 2.631657 -6.165113 31.552 1.914926 18.36679 58.16813 25.92742 3.891508 3.66249 -3.202171 -1.373235 5.225612 3.886456 2.25444 1.259823 -4.678069 5.989944 1.166976 4.522415 4.50638 20.02613 8.615336 2.013263 1.110809
213 0.6302587 41.71462 -1.456202 86.58668 -3.381029 -1.808704 88.44791 44.98465 -0.7027038 20.6065 5.134911 5.119223 11.24929 3.682557 2.938218 36.26499 10.08995 3.096131 49.09004 24.58104 7.568661 2.714097 2.632838 -6.165845 31.56275 1.913936 18.37651 58.16701 25.92521 3.891759 3.663009 -3.19906 -1.375552 5.22506 3.886353 2.254354 1.259077 -4.682532 5.99087 1.166032 4.519444 4.503892 20.02427 8.61451 2.014085 1.108211
214 0.63469 41.73853 -1.455637 86.60319 -3.381105 -1.808775 88.44791 45.00414 -0.7018835 20.59613 5.135062 5.117595 11.24556 3.68184 2.935083 36.2582 10.08211 3.095775 49.10086 24.58437 7.569563 2.714406 2.633974 -6.166568 31.57344 1.912958 18.38619 58.16543 25.92288 3.892019 3.663521 -3.195935 -1.377834 5.224517 3.886265 2.254274 1.258336 -4.687055 5.991813 1.165098 4.516479 4.501503 20.02239 8.613724 2.014915 1.105652
215 0.6392154 41.76221 -1.455106 86.61927 -3.381117 -1.808849 88.44775 45.02362 -0.7010691 20.58604 5.135211 5.116042 11.24188 3.68112 2.931972 36.2516 10.07432 3.095461 49.11143 24.58757 7.57048 2.714717 2.635058 -6.167287 31.58414 1.911994 18.39584 58.16362 25.92055 3.892307 3.664049 -3.192773 -1.380081 5.223978 3.886186 2.254194 1.2576 -4.691612 5.992768 1.164175 4.513523 4.499111 20.02054 8.613015 2.01577 1.10314
216 0.6438923 41.78572 -1.454629 86.63486 -3.38108 -1.808927 88.44791 45.04319 -0.7002986 20.57635 5.135356 5.114573 11.23823 3.680399 2.928875 36.2452 10.06659 3.095176 49.12173 24.59062 7.571395 2.715026 2.636086 -6.168002 31.59494 1.911052 18.40549 58.16191 25.91831 3.89264 3.66467 -3.189611 -1.382294 5.223434 3.88611 2.254114 1.256867 -4.696178 5.993734 1.16327 4.510583 4.496647 20.01878 8.612418 2.016671 1.100662
217 0.6485327 41.80903 -1.454221 86.64989 -3.381011 -1.809007 88.44873 45.06285 -0.6996105 20.56695 5.13549 5.113191 11.2346 3.679677 2.925789 36.23906 10.05895 3.094908 49.13171 24.5935 7.572294 2.715331 2.637049 -6.168709 31.60587 1.910141 18.41516 58.16058 25.91627 3.893032 3.665342 -3.186491 -1.384472 5.222878 3.886027 2.254031 1.256136 -4.700731 5.99471 1.162388 4.507669 4.494131 20.01717 8.611957 2.017582 1.0982
218 0.6530604 41.83214 -1.453882 86.66431 -3.380921 -1.809084 88.45032 45.08261 -0.6990308 20.55761 5.135611 5.111884 11.23098 3.678955 2.922719 36.23324 10.05142 3.094646 49.14137 24.59619 7.573168 2.715632 2.63794 -6.169413 31.61696 1.909267 18.42483 58.15974 25.91453 3.893493 3.665966 -3.183414 -1.386614 5.222306 3.885936 2.253946 1.255405 -4.705249 5.995696 1.161534 4.504789 4.491635 20.01574 8.611642 2.01845 1.095751
219 0.6574814 41.85507 -1.453604 86.67809 -3.380819 -1.809155 88.45277 45.10244 -0.6985655 20.54843 5.135723 5.110638 11.22736 3.678234 2.919664 36.22774 10.04404 3.094383 49.15068 24.59869 7.57401 2.715929 2.638754 -6.170121 31.62821 1.90843 18.43449 58.15946 25.91316 3.894026 3.666464 -3.18035 -1.388721 5.221714 3.885833 2.253859 1.254672 -4.709697 5.996695 1.160707 4.50195 4.489138 20.01454 8.611472 2.019249 1.093328
220 0.6618737 41.87782 -1.453373 86.6912 -3.380716 -1.809216 88.45616 45.12234 -0.6982054 20.53953 5.135827 5.109432 11.22373 3.677516 2.916617 36.22253 10.03686 3.094112 49.15966 24.601 7.574816 2.716225 2.639488 -6.170837 31.6396 1.907635 18.44415 58.15977 25.91219 3.894629 3.666873 -3.177301 -1.390793 5.2211 3.885719 2.253771 1.253938 -4.714046 5.997716 1.159912 4.499158 4.486595 20.01356 8.611435 2.019992 1.090932
221 0.666236 41.90037 -1.453178 86.7037 -3.380622 -1.809263 88.46051 45.14234 -0.6979243 20.53086 5.135918 5.108246 11.22012 3.6768 2.913571 36.21754 10.0299 3.09383 49.1683 24.60313 7.575589 2.716523 2.64014 -6.17156 31.65114 1.90689 18.45379 58.16074 25.91156 3.895293 3.667215 -3.174293 -1.392829 5.220465 3.885594 2.253686 1.253202 -4.718276 5.998775 1.159153 4.496416 4.484003 20.01279 8.611506 2.020674 1.088551
222 0.6705121 41.92268 -1.453004 86.71566 -3.380543 -1.809291 88.46571 45.16243 -0.697681 20.52223 5.135998 5.107057 11.21651 3.676088 2.910529 36.21275 10.0232 3.093538 49.17665 24.60512 7.576333 2.716827 2.640714 -6.172297 31.66281 1.906198 18.46341 58.16232 25.91126 3.896006 3.667459 -3.171335 -1.394831 5.219812 3.885462 2.253607 1.252465 -4.722375 5.999881 1.158432 4.493718 4.48141 20.01222 8.61165 2.02127 1.086181
223 0.6747803 41.94473 -1.452838 86.72717 -3.380489 -1.809299 88.47159 45.18261 -0.697427 20.51356 5.136068 5.10585 11.21294 3.67538 2.907495 36.20812 10.01676 3.093245 49.18475 24.60701 7.577056 2.71714 2.641217 -6.173056 31.67456 1.905555 18.47298 58.16442 25.91125 3.896756 3.667585 -3.168415 -1.396802 5.219149 3.885327 2.253536 1.25173 -4.726333 6.00104 1.157747 4.491055 4.478849 20.01182 8.611834 2.02177 1.083826
224 0.6791443 41.9665 -1.452676 86.73837 -3.380465 -1.809288 88.47796 45.2029 -0.6971174 20.50502 5.136127 5.104619 11.2094 3.674679 2.904469 36.20357 10.01059 3.092964 49.19264 24.60883 7.577769 2.717464 2.641657 -6.173839 31.68638 1.90496 18.48251 58.16687 25.91146 3.897526 3.667616 -3.165518 -1.398744 5.218482 3.885193 2.253474 1.251 -4.730147 6.002257 1.157098 4.488415 4.476299 20.01155 8.61202 2.022191 1.081492
225 0.68374 41.98795 -1.452519 86.74937 -3.380475 -1.80926 88.48457 45.22332 -0.6967248 20.49665 5.13617 5.103362 11.20592 3.673987 2.901453 36.19902 10.00468 3.0927 49.20039 24.61063 7.578478 2.717802 2.642047 -6.174632 31.69827 1.904413 18.49199 58.16953 25.9118 3.8983 3.667605 -3.162667 -1.400662 5.217815 3.885064 2.253424 1.250276 -4.733832 6.003537 1.156487 4.485784 4.473762 20.01134 8.612172 2.022547 1.079173
226 0.6884834 42.00908 -1.452376 86.76028 -3.380519 -1.809215 88.49113 45.24388 -0.6962426 20.48828 5.136199 5.102088 11.20249 3.673305 2.898452 36.19436 9.998983 3.09246 49.20807 24.61245 7.579194 2.718153 2.642399 -6.17542 31.71021 1.903916 18.50142 58.17225 25.91217 3.899061 3.667525 -3.159873 -1.402559 5.217156 3.884944 2.253384 1.249562 -4.737411 6.004872 1.155914 4.483144 4.471258 20.01114 8.612258 2.022826 1.076859
227 0.6933461 42.02983 -1.452262 86.77122 -3.380594 -1.809157 88.49742 45.26454 -0.6956817 20.47977 5.136209 5.100811 11.19911 3.67263 2.895484 36.18958 9.993456 3.092247 49.21571 24.61432 7.579918 2.718515 2.642726 -6.176193 31.72217 1.903466 18.51078 58.1749 25.91251 3.899793 3.66735 -3.157124 -1.404439 5.216509 3.884834 2.253353 1.248859 -4.740901 6.006249 1.155378 4.48048 4.468834 20.0109 8.612257 2.023018 1.074554
228 0.6982878 42.05022 -1.45219 86.78223 -3.380686 -1.80909 88.50328 45.28525 -0.6950676 20.47132 5.136199 5.099546 11.1958 3.671964 2.892552 36.18465 9.988044 3.092062 49.22337 24.61626 7.580654 2.718885 2.643041 -6.176937 31.73413 1.903057 18.52007 58.17738 25.91275 3.900487 3.667063 -3.154398 -1.406306 5.215872 3.884734 2.25333 1.248169 -4.744321 6.007647 1.154875 4.477778 4.466468 20.01061 8.612159 2.023131 1.072266
229 0.7034007 42.07026 -1.452177 86.79335 -3.380787 -1.809019 88.5086 45.30597 -0.6944388 20.46307 5.136169 5.098309 11.19253 3.671307 2.88966 36.17956 9.982702 3.091901 49.23105 24.61827 7.581398 2.719258 2.643354 -6.177636 31.74609 1.902688 18.52926 58.17958 25.91287 3.901137 3.666731 -3.151706 -1.408162 5.215247 3.884642 2.253309 1.247494 -4.747688 6.00905 1.154404 4.475032 4.464158 20.01023 8.611963 2.023197 1.069993
230 0.7086279 42.08996 -1.452228 86.8046 -3.380884 -1.808945 88.51319 45.32664 -0.6938397 20.45485 5.136118 5.097109 11.1893 3.670657 2.886811 36.17432 9.977381 3.091758 49.23878 24.62036 7.582141 2.719629 2.643675 -6.178276 31.75803 1.90236 18.53836 58.18138 25.91279 3.901738 3.666348 -3.149055 -1.410007 5.214632 3.884555 2.253289 1.246834 -4.751024 6.01044 1.153965 4.472239 4.461928 20.00976 8.611671 2.023221 1.067728
231 0.71385 42.10929 -1.452346 86.81596 -3.38097 -1.808868 88.51696 45.34717 -0.6933115 20.44656 5.136044 5.095948 11.18611 3.670015 2.88401 36.16899 9.972037 3.091624 49.24656 24.6225 7.58288 2.719993 2.644012 -6.178856 31.7699 1.902066 18.54736 58.1827 25.91251 3.902288 3.665905 -3.146435 -1.411844 5.214027 3.884469 2.253265 1.24619 -4.754342 6.011801 1.153553 4.469398 4.459816 20.00919 8.611293 2.023205 1.065474
232 0.7189776 42.12826 -1.452524 86.82742 -3.381042 -1.808789 88.51997 45.36748 -0.6928836 20.43832 5.13594 5.094824 11.18294 3.669381 2.881247 36.16358 9.966648 3.09149 49.25437 24.62471 7.58361 2.720347 2.644375 -6.179384 31.7817 1.901792 18.55625 58.18356 25.91203 3.902792 3.665431 -3.143825 -1.413671 5.21343 3.884382 2.253236 1.245564 -4.757648 6.013123 1.153161 4.466518 4.45778 20.00853 8.610847 2.023175 1.063238
233 0.7241184 42.14686 -1.452756 86.83901 -3.381105 -1.808709 88.52245 45.38753 -0.692569 20.43015 5.135806 5.093725 11.1798 3.668756 2.87852 36.15817 9.961207 3.091344 49.26223 24.62698 7.58433 2.720688 2.644773 -6.17987 31.7934 1.901534 18.56503 58.18404 25.91137 3.903258 3.66502 -3.141227 -1.415489 5.212841 3.884291 2.253199 1.244955 -4.760946 6.014408 1.152788 4.463611 4.455793 20.00781 8.610364 2.023174 1.061021
234 0.729229 42.16508 -1.453032 86.85072 -3.381178 -1.808627 88.52465 45.40728 -0.6923634 20.42185 5.135642 5.092638 11.17668 3.668141 2.875832 36.15289 9.955709 3.091177 49.27012 24.6293 7.585038 2.721016 2.645215 -6.180324 31.80498 1.901286 18.5737 58.18427 25.91062 3.903704 3.664704 -3.138638 -1.417298 5.21226 3.884195 2.253154 1.244365 -4.764247 6.015658 1.152429 4.460688 4.453867 20.00708 8.609886 2.023216 1.058824
235 0.7342458 42.18289 -1.453339 86.86258 -3.38127 -1.808547 88.52678 45.42672 -0.6922464 20.41345 5.135442 5.091544 11.17358 3.667535 2.873186 36.14784 9.950158 3.090981 49.27808 24.6317 7.585734 2.721332 2.645714 -6.180749 31.81641 1.901043 18.58226 58.18439 25.90985 3.904145 3.664469 -3.136069 -1.419099 5.211691 3.884093 2.253102 1.243796 -4.767553 6.016877 1.152083 4.457767 4.452032 20.0064 8.609449 2.023299 1.056646
236 0.739042 42.20031 -1.453657 86.87464 -3.381386 -1.808474 88.52914 45.44587 -0.6921834 20.40523 5.135207 5.090428 11.17052 3.66694 2.870572 36.143 9.94458 3.090754 49.28612 24.63417 7.586425 2.721636 2.64628 -6.181157 31.82768 1.900798 18.59073 58.18464 25.90912 3.904591 3.664308 -3.133514 -1.420893 5.211137 3.883988 2.253043 1.243248 -4.770862 6.018076 1.151746 4.454864 4.450207 20.00578 8.609077 2.023427 1.054489
237 0.7436723 42.21732 -1.453969 86.88696 -3.381525 -1.808408 88.53201 45.46476 -0.6921344 20.3973 5.134937 5.089278 11.16751 3.666357 2.867986 36.13835 9.938995 3.090495 49.29424 24.63673 7.587117 2.721931 2.646924 -6.181558 31.83878 1.900553 18.59912 58.18518 25.90846 3.90505 3.66431 -3.130989 -1.422679 5.210602 3.883883 2.252979 1.242722 -4.774171 6.01926 1.151417 4.451993 4.448336 20.00524 8.608778 2.023635 1.052349
238 0.7482108 42.23392 -1.454261 86.8996 -3.381691 -1.808352 88.53549 45.48346 -0.6920608 20.38943 5.13463 5.088091 11.16454 3.665783 2.865431 36.13392 9.933419 3.090211 49.30249 24.6394 7.587816 2.722219 2.647655 -6.181965 31.84972 1.900307 18.60746 58.18609 25.90788 3.905525 3.664497 -3.128505 -1.424461 5.210091 3.883781 2.252912 1.242216 -4.777481 6.020429 1.151092 4.449166 4.446434 20.00477 8.608558 2.023925 1.05022
239 0.7527043 42.2501 -1.45452 86.91258 -3.381888 -1.808308 88.53963 45.50198 -0.6919346 20.38141 5.134286 5.086872 11.16162 3.665219 2.86292 36.12977 9.927859 3.089914 49.31087 24.64219 7.588524 2.722501 2.648478 -6.182385 31.86049 1.90006 18.61576 58.1874 25.90746 3.90602 3.66481 -3.126064 -1.426238 5.209605 3.883682 2.252841 1.241731 -4.780797 6.021582 1.150767 4.44639 4.444567 20.00439 8.608421 2.024271 1.048103
240 0.7570514 42.2659 -1.454736 86.92593 -3.382106 -1.808277 88.54452 45.52037 -0.6917429 20.37343 5.133909 5.085633 11.15874 3.664666 2.860446 36.12586 9.922327 3.089615 49.31942 24.64509 7.58924 2.722773 2.649395 -6.182815 31.87111 1.899805 18.62402 58.18923 25.90722 3.906536 3.665175 -3.123657 -1.428014 5.209146 3.883586 2.252765 1.241263 -4.784113 6.022713 1.150437 4.443672 4.442682 20.00413 8.608377 2.024651 1.046004
241 0.7612194 42.28138 -1.454908 86.93966 -3.382332 -1.808262 88.55034 45.53871 -0.6914888 20.36576 5.133504 5.084399 11.15591 3.664121 2.858006 36.12214 9.916831 3.08932 49.32813 24.64811 7.589965 2.723035 2.650403 -6.18325 31.88162 1.89954 18.63228 58.19169 25.90721 3.907077 3.665647 -3.121298 -1.429789 5.208713 3.883494 2.252682 1.240809 -4.787426 6.023822 1.150097 4.441015 4.4407 20.00398 8.608427 2.02509 1.043919
242 0.7653213 42.29663 -1.455039 86.95369 -3.382553 -1.808257 88.55708 45.55703 -0.6911927 20.35834 5.133076 5.083193 11.1531 3.663583 2.855593 36.11858 9.911373 3.08903 49.33699 24.65121 7.590694 2.723282 2.651496 -6.18369 31.89208 1.899262 18.64057 58.19477 25.90742 3.907644 3.666261 -3.119015 -1.431565 5.208302 3.883404 2.252592 1.240368 -4.79073 6.024908 1.149742 4.438421 4.438627 20.00395 8.608562 2.025592 1.041836
243 0.7693745 42.31169 -1.455137 86.96797 -3.382759 -1.80826 88.56462 45.57534 -0.6908813 20.35088 5.132626 5.082042 11.15031 3.663047 2.853215 36.11519 9.905936 3.088747 49.34599 24.65438 7.591419 2.723511 2.652667 -6.184136 31.9025 1.898967 18.64888 58.1984 25.90784 3.908228 3.666961 -3.116814 -1.433339 5.207908 3.883313 2.25249 1.239935 -4.794029 6.025958 1.149369 4.435889 4.436539 20.00401 8.608757 2.026122 1.03975
244 0.7733954 42.32661 -1.455208 86.98241 -3.382938 -1.808269 88.57272 45.59359 -0.6905811 20.34334 5.132162 5.080965 11.14751 3.662515 2.850878 36.11195 9.900512 3.088474 49.35507 24.65758 7.592128 2.723716 2.653905 -6.184587 31.91288 1.898645 18.65723 58.20244 25.90846 3.908821 3.667679 -3.114679 -1.435113 5.207529 3.883214 2.252376 1.239508 -4.797317 6.026964 1.148969 4.43342 4.434494 20.00414 8.608977 2.026651 1.037669
245 0.7773635 42.34149 -1.455259 86.99693 -3.383081 -1.808278 88.58115 45.61174 -0.6903122 20.33592 5.131695 5.07997 11.14471 3.661986 2.848577 36.10873 9.89509 3.088209 49.36421 24.6608 7.592817 2.723895 2.655199 -6.185038 31.92321 1.898288 18.66558 58.20673 25.90922 3.909407 3.668378 -3.112583 -1.436883 5.207158 3.883108 2.252246 1.239085 -4.800591 6.027918 1.148538 4.431013 4.432456 20.00429 8.609181 2.027179 1.035605
246 0.7813585 42.35638 -1.455295 87.01144 -3.383185 -1.808281 88.58968 45.62976 -0.6900873 20.32871 5.131228 5.079062 11.1419 3.66146 2.846303 36.10545 9.889669 3.087945 49.37335 24.66401 7.593482 2.724045 2.656536 -6.185482 31.93349 1.897895 18.67395 58.21112 25.91001 3.909969 3.66912 -3.11054 -1.438646 5.206792 3.882991 2.2521 1.238663 -4.803842 6.028821 1.148074 4.428669 4.430405 20.00441 8.609332 2.02773 1.033553
247 0.7853255 42.3713 -1.45532 87.02585 -3.38326 -1.808272 88.59809 45.64762 -0.6899119 20.32153 5.130767 5.078233 11.13907 3.660938 2.844049 36.10204 9.884251 3.087674 49.38246 24.6672 7.594117 2.724165 2.657907 -6.185914 31.94369 1.897464 18.6823 58.21551 25.91076 3.910496 3.669904 -3.108572 -1.4404 5.206427 3.882861 2.251937 1.238243 -4.807064 6.029675 1.147575 4.426389 4.42837 20.00445 8.609406 2.028298 1.031503
248 0.7892324 42.38627 -1.455336 87.04012 -3.383318 -1.808244 88.60619 45.66526 -0.6897811 20.31417 5.130317 5.077471 11.13621 3.66042 2.841819 36.09856 9.878836 3.087393 49.39151 24.67033 7.594719 2.724258 2.659301 -6.18634 31.95377 1.896992 18.69061 58.21977 25.91144 3.910981 3.670677 -3.106671 -1.442144 5.206058 3.882715 2.25176 1.237823 -4.810248 6.030481 1.147039 4.42417 4.426431 20.00441 8.609395 2.028855 1.029457
249 0.7930233 42.40131 -1.455337 87.0542 -3.383371 -1.808198 88.61386 45.68259 -0.68968 20.30672 5.129887 5.076757 11.13334 3.659907 2.839613 36.09499 9.87343 3.087097 49.40047 24.67341 7.595286 2.724326 2.660709 -6.186763 31.96369 1.896475 18.69886 58.22386 25.91203 3.91142 3.671375 -3.10481 -1.443876 5.205685 3.882553 2.25157 1.237405 -4.81339 6.031245 1.146463 4.422015 4.424598 20.00427 8.609292 2.029387 1.027427
250 0.7966754 42.41643 -1.455319 87.06807 -3.383426 -1.80813 88.62106 45.6996 -0.6895867 20.29942 5.129478 5.076072 11.13044 3.659401 2.837423 36.09132 9.868048 3.086783 49.40932 24.67643 7.59582 2.724375 2.662127 -6.187191 31.97344 1.895911 18.70703 58.2277 25.91249 3.911808 3.67205 -3.102981 -1.445594 5.205304 3.882376 2.251369 1.236988 -4.816485 6.031981 1.145847 4.41992 4.422825 20.00404 8.609097 2.029929 1.025419
251 0.7993783 42.4832 -1.459902 87.31778 -3.387583 -1.818613 88.76703 45.81939 -0.6904716 19.52883 4.92465 4.783894 10.86289 3.60145 2.555575 35.55464 9.351634 2.994742 49.58757 24.73639 7.601872 2.718636 2.67332 -6.215564 32.05855 1.885422 18.78146 58.39765 25.93634 3.908469 3.633255 -3.10868 -1.538378 5.153527 3.850284 2.225431 1.172025 -4.999413 5.976084 1.119938 4.260281 4.297883 19.95617 8.554719 1.954243 0.7916067
252 0.8090804 42.50068 -1.46026 87.51411 -3.389389 -1.825138 88.85161 45.90273 -0.6898943 19.00231 4.784216 4.584818 10.66011 3.552446 2.366099 35.17561 8.979648 2.930465 49.73022 24.77847 7.605947 2.716009 2.683476 -6.234737 32.1151 1.875637 18.83663 58.50362 25.95618 3.909668 3.591077 -3.108931 -1.61113 5.111532 3.82275 2.204536 1.13242 -5.143806 5.928066 1.097812 4.167111 4.202603 19.91783 8.520072 1.88895 0.6461432
