"C_U_21_components"
"Iteration" "df-body etc.."
("Iteration" "df-body" "df-diffuser" "df-front_wheel" "df-front_wing" "df-nose" "df-rear_wheel" "df-rear_wing" "df-sidepod" "df-suspension" "drag-body" "drag-diffuser" "drag-front_wheel" "drag-front_wing" "drag-nose" "drag-rear_wheel" "drag-rear_wing" "drag-sidepod" "drag-suspension" "df-fw-1" "df-fw-2" "df-fw-3" "df-fw-4" "df-fw-e" "df-s-wlot" "df-s-1" "df-s-2" "df-s-e" "df-rw-1" "df-rw-2" "df-rw-3" "df-rw-4" "df-rw-e" "drag-fw-1" "drag-fw-2" "drag-fw-3" "drag-fw-4" "drag-fw-e" "drag-s-wlot" "drag-s-1" "drag-s-2" "drag-s-e" "drag-rw-1" "drag-rw-2" "drag-rw-3" "drag-rw-4" "drag-rw-e")
12 0.6051075 42.9152 -2.18357 67.417 -3.26373 -0.8270061 87.76545 40.51934 -1.397721 56.31083 14.71673 15.69412 25.72015 6.715865 13.72896 61.99825 35.69178 6.148733 34.53494 21.82546 6.97691 2.562752 1.516938 -4.523576 30.0605 3.084839 13.2953 54.09291 23.28097 3.703335 10.74661 -4.058372 4.514273 8.222789 5.50139 3.274597 4.207099 6.275177 9.897903 2.806513 10.56345 10.89838 20.79861 10.50433 7.427011 12.36991
13 0.4491695 42.42311 -2.229373 69.0435 -3.291847 -0.8995623 88.31783 40.78522 -1.412189 53.22427 13.78414 14.55869 24.53426 6.426949 12.74044 59.77594 33.47411 5.798891 35.74613 22.16129 6.992259 2.555256 1.588558 -4.672921 30.16081 3.036301 13.67322 54.89212 23.44547 3.684171 10.40341 -4.107337 4.072175 7.987945 5.346005 3.171372 3.956771 5.393016 9.568892 2.688183 10.02513 10.33093 20.6499 10.38435 7.009549 11.40122
14 0.2346488 41.93879 -2.275922 70.45802 -3.318463 -0.9789018 88.84022 40.91867 -1.420161 50.65274 12.9953 13.65016 23.52886 6.188194 11.93867 57.94394 31.60207 5.519464 36.81607 22.4285 7.005964 2.556071 1.651401 -4.801711 30.15958 2.998177 13.98279 55.5682 23.61767 3.679604 10.12032 -4.145579 3.691634 7.788002 5.217353 3.090075 3.741801 4.630862 9.274724 2.590305 9.586719 9.852736 20.55278 10.30495 6.663628 10.56985
15 -0.01864923 41.44807 -2.320789 71.66508 -3.342982 -1.060881 89.33938 40.94004 -1.420831 48.48803 12.3204 12.91861 22.66446 5.989079 11.27494 56.41816 30.00061 5.294897 37.74684 22.63531 7.016504 2.561388 1.705034 -4.911222 30.07812 2.968502 14.22547 56.1488 23.7883 3.685531 9.892171 -4.175419 3.360917 7.614636 5.108915 3.024932 3.555065 3.961528 9.006968 2.508725 9.228489 9.444454 20.49107 10.25463 6.378019 9.849985
16 -0.2984183 40.94564 -2.358537 72.67542 -3.365072 -1.140371 89.80299 40.8602 -1.412901 46.644 11.73626 12.32246 21.91203 5.82128 10.71429 55.12758 28.61953 5.113031 38.542 22.79135 7.023616 2.568888 1.749566 -5.005326 29.92999 2.944895 14.40355 56.64842 23.95044 3.69779 9.706066 -4.199724 3.071546 7.461838 5.015895 2.971631 3.391122 3.368546 8.761855 2.439628 8.936467 9.092629 20.45135 10.22133 6.140615 9.221655
17 -0.5967422 40.43352 -2.384369 73.50946 -3.384455 -1.214074 90.21048 40.68158 -1.399897 45.05211 11.22538 11.82953 21.24938 5.67802 10.22976 54.01292 27.42034 4.964385 39.21284 22.90681 7.027154 2.577005 1.785661 -5.087862 29.72604 2.924612 14.51869 57.07561 24.09866 3.713099 9.54467 -4.221567 2.816746 7.325526 4.93456 2.926898 3.245655 2.840788 8.53511 2.379864 8.700199 8.787053 20.42282 10.19512 5.938765 8.669161
18 -0.9072484 39.91614 -2.395208 74.19029 -3.401219 -1.281083 90.54636 40.41233 -1.384475 43.65979 10.77451 11.41157 20.65983 5.554107 9.801604 53.02959 26.3711 4.841722 39.77275 22.99176 7.026994 2.584576 1.814208 -5.160887 29.47493 2.906715 14.57604 57.43162 24.22832 3.729145 9.399674 -4.242409 2.591116 7.202917 4.862086 2.888219 3.115496 2.369664 8.322911 2.327836 8.508962 8.519016 20.39692 10.17002 5.763163 8.18047
19 -1.224444 39.40131 -2.39224 74.74119 -3.415645 -1.339991 90.80981 40.06915 -1.368101 42.42736 10.37296 11.04727 20.13117 5.445566 9.413746 52.14687 25.44791 4.738393 40.23597 23.05427 7.023568 2.591295 1.836095 -5.226732 29.18803 2.891401 14.58455 57.72147 24.33842 3.744631 9.267281 -4.261998 2.390208 7.091929 4.796584 2.853987 2.998465 1.949346 8.124018 2.282836 8.353314 8.280754 20.3696 10.14427 5.605968 7.746278
20 -1.540312 38.9048 -2.382281 75.18453 -3.428031 -1.390665 91.00454 39.67109 -1.351863 41.32304 10.01396 10.72461 19.65433 5.349254 9.055422 51.34385 24.62856 4.649138 40.61643 23.10054 7.017838 2.597426 1.852297 -5.286663 28.87915 2.877569 14.55289 57.95534 24.4328 3.758971 9.137131 -4.279708 2.210423 6.990823 4.73693 2.823242 2.892911 1.576326 7.937071 2.243618 8.222406 8.06579 20.34137 10.11852 5.459346 7.35883
21 -1.84245 38.43648 -2.372762 75.5358 -3.438722 -1.433418 91.1299 39.23599 -1.335639 40.3208 9.691808 10.43876 19.22054 5.262907 8.721381 50.6075 23.88979 4.569929 40.92699 23.13285 7.009825 2.602587 1.863553 -5.340934 28.5594 2.863364 14.4898 58.14053 24.51706 3.772032 8.99453 -4.294252 2.048669 6.8977 4.681886 2.794947 2.797336 1.244184 7.760903 2.208515 8.106261 7.870076 20.31456 10.09335 5.317814 7.011704
22 -2.118548 38.00013 -2.364967 75.80611 -3.447892 -1.468963 91.17935 38.78325 -1.318026 39.40144 9.400208 10.18432 18.82263 5.184763 8.407567 49.92827 23.21369 4.498303 41.1776 23.15193 6.999771 2.606462 1.870341 -5.388724 28.23879 2.847789 14.40342 58.28026 24.59639 3.783585 8.823914 -4.304808 1.902367 6.81094 4.630476 2.768348 2.7105 0.9453191 7.594104 2.176224 7.999737 7.693495 20.29158 10.06818 5.175879 6.69914
23 -2.361791 37.60116 -2.355967 76.00972 -3.455427 -1.498306 91.15169 38.32999 -1.298963 38.55178 9.134176 9.957063 18.45576 5.113354 8.113141 49.2979 22.58788 4.43228 41.37818 23.16018 6.988895 2.609127 1.873342 -5.430488 27.92898 2.83023 14.30023 58.37883 24.67583 3.793164 8.614967 -4.31112 1.769467 6.729665 4.582335 2.743062 2.631231 0.6737735 7.436647 2.145783 7.899397 7.537498 20.27488 10.04159 5.028085 6.415864
