"C_U_21_massflow"
"Iteration" "floor-1 etc.."
("Iteration" "floor-1" "floor-2" "d-in" "d-out" "s-up-out" "s-up-in" "s-center-out" "s-center-in" "s-bottom-out" "s-bottom-in" "s-floor-endplate" "s-floor-out" "s-floor-center" "s-floor-in" "fwheel-up-out" "fwheel-up-center" "fwheel-up-in" "fwheel-center-out" "fwheel-center-center" "fwheel-center-in" "fwheel-bot-out" "fwheel-bot-center" "fwheel-bot-in" "outisde-up-out" "outside-up-center" "outside-up-in" "outside-center-out" "outside-center-center" "outside-center-in" "outside-bot-out" "outside-bot-center" "outside-bot-in" "rwheel-up-out" "rwheel-up-center" "rhweel-up-in" "rwheel-center-out" "rwheel-center-center" "rwheel-center-in" "rwheel-bot-out" "rwheel-bot-center")
960 -0.2627976 -0.206287 -0.4876099 0.6477182 0.05484115 0.04645657 -0.006156937 0.033082 0.0276803 0.04917209 0.06662233 -0.07967832 -0.1073796 -0.1804328 -0.1748945 -0.1756421 -0.1893995 -0.1300918 -0.1489304 -0.1636987 -0.1286509 -0.2131125 -0.2009174 -0.1893771 -0.1851313 -0.07699323 -0.1979143 -0.2100111 -0.1840228 -0.2224284 -0.2239231 -0.229437 -0.05484415 -0.01823234 -0.02715066 -0.0415501 -0.02163114 -0.06334355 -0.06567232 -0.1075807
961 -0.262767 -0.2062517 -0.4875202 0.647587 0.05475512 0.04644248 -0.005956128 0.03315532 0.02748431 0.04924681 0.06668659 -0.07962061 -0.1073276 -0.1804045 -0.1748919 -0.1756652 -0.1895009 -0.1300453 -0.1489246 -0.1637534 -0.1286389 -0.2130846 -0.2009158 -0.1893827 -0.1849976 -0.07701325 -0.1978923 -0.2099773 -0.1841736 -0.2224248 -0.2239221 -0.2294873 -0.05471079 -0.01812026 -0.02723313 -0.04147803 -0.02156901 -0.063342 -0.06571629 -0.107518
962 -0.2627372 -0.2062158 -0.4874377 0.6474704 0.05467261 0.04641132 -0.005725719 0.03320866 0.02730667 0.04930905 0.06675824 -0.07956263 -0.1072748 -0.1803644 -0.1748899 -0.1756932 -0.1895931 -0.1300008 -0.1489185 -0.1637978 -0.1286249 -0.2130558 -0.2009143 -0.1893911 -0.1848686 -0.07704382 -0.1978707 -0.2099452 -0.1843264 -0.2224216 -0.2239219 -0.2295371 -0.05456801 -0.01800388 -0.02730706 -0.04141251 -0.02151304 -0.06333604 -0.06576858 -0.1074529
963 -0.262709 -0.2061796 -0.4873616 0.6473695 0.05459528 0.04635966 -0.005474862 0.03324515 0.02715119 0.04936318 0.06683678 -0.07950468 -0.107221 -0.1803145 -0.1748885 -0.1757253 -0.1896739 -0.1299596 -0.1489127 -0.1638328 -0.1286112 -0.2130273 -0.2009132 -0.1894019 -0.1847442 -0.07708336 -0.1978494 -0.2099149 -0.1844809 -0.2224188 -0.223922 -0.2295861 -0.05442495 -0.01788496 -0.02738168 -0.04135692 -0.02146339 -0.06332383 -0.06583016 -0.1073832
964 -0.2626822 -0.2061429 -0.4872917 0.6472832 0.05452468 0.04628706 -0.00521218 0.03326724 0.02702067 0.04941384 0.06692133 -0.07944798 -0.1071659 -0.1802567 -0.174888 -0.1757606 -0.189742 -0.1299231 -0.1489074 -0.1638591 -0.1285997 -0.2130007 -0.2009124 -0.1894151 -0.1846244 -0.07713094 -0.1978283 -0.2098862 -0.1846365 -0.2224163 -0.2239224 -0.2296345 -0.05428945 -0.01777324 -0.02745981 -0.04131101 -0.02141709 -0.0633039 -0.06590123 -0.1073066
965 -0.2626572 -0.2061067 -0.4872271 0.6472101 0.05446156 0.04619451 -0.0049465 0.03327631 0.02691491 0.04946482 0.06701135 -0.07939294 -0.1071096 -0.1801944 -0.1748887 -0.1757982 -0.1897968 -0.1298924 -0.1489032 -0.1638769 -0.1285914 -0.2129769 -0.2009121 -0.1894302 -0.1845089 -0.0771855 -0.1978073 -0.2098587 -0.1847921 -0.2224139 -0.223923 -0.2296823 -0.05416126 -0.01767559 -0.02753447 -0.04127174 -0.02137061 -0.06327565 -0.06598156 -0.1072221
966 -0.2626344 -0.2060714 -0.4871683 0.6471505 0.05440713 0.04608407 -0.004686431 0.03327309 0.02683383 0.04952013 0.06710605 -0.07933965 -0.1070517 -0.1801305 -0.174891 -0.1758374 -0.1898383 -0.1298683 -0.1489 -0.1638867 -0.1285869 -0.2129567 -0.2009124 -0.189447 -0.1843973 -0.07724565 -0.1977862 -0.2098322 -0.1849472 -0.2224115 -0.2239237 -0.2297294 -0.05403655 -0.01758928 -0.02760305 -0.04123875 -0.02132388 -0.0632387 -0.06607188 -0.10713
967 -0.2626142 -0.2060373 -0.487116 0.647107 0.0543622 0.04595973 -0.004438806 0.03325807 0.02677431 0.04958294 0.06720419 -0.07928842 -0.1069925 -0.180068 -0.174895 -0.1758772 -0.1898675 -0.1298509 -0.1488978 -0.1638884 -0.1285864 -0.2129396 -0.200913 -0.1894652 -0.1842894 -0.07731065 -0.1977654 -0.209807 -0.1851016 -0.2224093 -0.2239247 -0.229775 -0.05391847 -0.01751248 -0.02767061 -0.04121508 -0.02127869 -0.06319343 -0.06617432 -0.1070323
968 -0.2625967 -0.2060045 -0.4870701 0.6470822 0.05432761 0.0458265 -0.00420958 0.03323137 0.02673171 0.0496552 0.06730445 -0.07923853 -0.1069323 -0.1800102 -0.1749007 -0.1759168 -0.189886 -0.1298397 -0.1488961 -0.1638816 -0.1285898 -0.2129255 -0.2009136 -0.1894848 -0.1841854 -0.07738066 -0.197745 -0.2097836 -0.1852549 -0.2224074 -0.2239261 -0.2298179 -0.05381327 -0.01744949 -0.02774283 -0.04120228 -0.02123407 -0.06313924 -0.06628926 -0.1069288
969 -0.2625819 -0.2059731 -0.4870308 0.6470754 0.05430327 0.04568901 -0.004002621 0.03319199 0.02670301 0.04973653 0.06740575 -0.07919015 -0.1068723 -0.1799598 -0.1749077 -0.1759552 -0.1898958 -0.1298338 -0.1488946 -0.1638662 -0.1285975 -0.2129144 -0.2009137 -0.1895057 -0.184086 -0.07745633 -0.1977254 -0.2097625 -0.1854058 -0.222406 -0.2239282 -0.2298576 -0.05372198 -0.01740565 -0.0278173 -0.0411991 -0.02118813 -0.063076 -0.06641532 -0.1068193
